Product ID,Type,Air temperature [C],Process temperature [C],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,Failure type
L47240,L,25.65,35.95,1393,52.6,167,0,NOT
M14921,M,25.65,35.85,1592,38.2,169,0,NOT
L47242,L,25.65,35.85,1829,22.9,172,0,NOT
M14923,M,25.75,35.85,1812,25.9,174,0,NOT
L47244,L,25.85,35.95,1523,38.6,177,0,NOT
L47245,L,25.85,35.95,1394,45.1,179,0,NOT
M14926,M,25.75,35.75,1679,28.7,181,0,NOT
H29481,H,25.65,35.75,1466,44.1,184,0,NOT
L47248,L,25.65,35.75,1527,32.4,189,0,NOT
M14930,M,25.75,35.85,1924,22.6,193,0,NOT
L47251,L,25.75,35.95,1452,45.5,196,0,NOT
L47252,L,25.75,35.95,1369,44.4,198,0,NOT
L47253,L,25.85,35.95,1592,35,200,0,NOT
L47254,L,25.75,35.85,1601,32.3,202,0,NOT
L47255,L,25.65,35.75,1379,46.7,204,0,NOT
L47256,L,25.65,35.75,1461,47.9,206,0,NOT
L47257,L,25.65,35.75,1455,41.3,208,1,TWF
L47258,L,25.65,35.75,1398,51.5,0,0,NOT
L47259,L,25.65,35.75,1402,37.9,2,0,NOT
H29494,H,25.65,35.65,1445,49.9,4,0,NOT
L47261,L,25.75,35.75,1450,47.5,9,0,NOT
L47262,L,25.75,35.75,1453,40.8,11,0,NOT
L47263,L,25.85,35.85,1469,40.1,13,0,NOT
L47264,L,25.75,35.75,1422,47.6,15,0,NOT
M14945,M,25.85,35.85,1804,26.8,17,0,NOT
H29500,H,25.85,35.85,1436,43.9,20,0,NOT
L47267,L,25.85,35.85,1544,31.8,25,0,NOT
M14948,M,25.85,35.85,1419,45.2,27,0,NOT
M14949,M,25.75,35.75,1487,39.5,30,0,NOT
L47270,L,25.75,35.75,1753,25.8,33,0,NOT
L47271,L,25.75,35.75,1830,24.9,35,0,NOT
M14952,M,25.75,35.75,1727,27.1,37,0,NOT
L47273,L,25.95,35.85,1450,43,40,0,NOT
L47274,L,25.85,35.75,1622,31.9,42,0,NOT
M14955,M,25.85,35.85,1351,52.2,44,0,NOT
M14956,M,25.85,35.85,1575,35.3,47,0,NOT
M14957,M,25.75,35.75,1750,29.9,50,0,NOT
L47278,L,25.75,35.65,1529,32.7,53,0,NOT
L47279,L,25.65,35.65,1523,44.4,55,0,NOT
L47280,L,25.65,35.75,1852,25,57,0,NOT
L47281,L,25.65,35.65,1991,20.7,59,0,NOT
L47282,L,25.65,35.65,1555,40.6,61,0,NOT
M14963,M,25.65,35.65,1441,40.5,63,0,NOT
L47284,L,25.65,35.55,1450,43.4,66,0,NOT
L47285,L,25.65,35.55,1591,31.1,68,0,NOT
L47286,L,25.65,35.55,1445,48.5,70,0,NOT
M14967,M,25.65,35.65,1497,46.8,72,0,NOT
H29522,H,25.75,35.65,1621,32.7,75,0,NOT
L47289,L,25.75,35.55,1572,34.1,80,0,NOT
L47290,L,25.65,35.45,1872,22.5,82,0,NOT
H29525,H,25.55,35.45,1499,43.5,84,0,NOT
M14972,M,25.65,35.55,1498,39.5,89,0,NOT
M14973,M,25.65,35.45,1486,41.9,92,0,NOT
L47294,L,25.65,35.45,1680,29.4,95,0,NOT
L47295,L,25.65,35.45,1431,45.7,97,0,NOT
L47296,L,25.75,35.55,1564,34.1,99,0,NOT
L47297,L,25.65,35.45,1599,33,101,0,NOT
M14978,M,25.65,35.45,1707,28.1,103,0,NOT
L47299,L,25.55,35.35,1467,40.7,106,0,NOT
L47300,L,25.75,35.55,1433,44.7,108,0,NOT
L47301,L,25.75,35.55,1558,41.2,110,0,NOT
L47302,L,25.85,35.65,1310,50.7,112,0,NOT
L47303,L,25.75,35.55,1546,43.4,114,0,NOT
L47304,L,25.75,35.55,1727,29.4,116,0,NOT
L47305,L,25.75,35.45,1560,32.2,118,0,NOT
L47306,L,25.85,35.45,1329,60.5,120,0,NOT
L47307,L,25.75,35.45,1413,46.5,122,0,NOT
L47308,L,25.85,35.45,1587,38.6,124,0,NOT
L47309,L,25.75,35.35,1559,34.3,126,0,NOT
L47310,L,25.65,35.25,1473,41.1,128,0,NOT
L47311,L,25.65,35.25,1737,27.7,130,0,NOT
M14992,M,25.55,35.25,1441,43.2,132,0,NOT
M14993,M,25.55,35.25,1430,49.6,135,0,NOT
L47314,L,25.65,35.25,1369,53,138,0,NOT
M14995,M,25.65,35.35,1711,28.5,140,0,NOT
H29550,H,25.55,35.35,1420,45.7,143,0,NOT
L47317,L,25.55,35.45,1297,55.3,148,0,NOT
H29552,H,25.65,35.45,1449,49.4,150,0,NOT
L47319,L,25.65,35.45,1268,55.8,155,0,NOT
L47320,L,25.65,35.45,1511,36.1,157,0,NOT
L47321,L,25.55,35.35,1544,35.2,159,0,NOT
M15002,M,25.45,35.25,1778,28.2,161,0,NOT
H29557,H,25.45,35.25,1407,50.5,164,0,NOT
M15004,M,25.45,35.25,1391,42.4,169,0,NOT
L47325,L,25.35,35.25,1513,33.6,172,0,NOT
H29560,H,25.35,35.25,1612,36.1,174,0,NOT
L47327,L,25.25,35.25,1515,40.1,179,0,NOT
M15008,M,25.15,35.15,1379,48,181,0,NOT
L47329,L,25.25,35.15,1473,39.9,184,0,NOT
L47330,L,25.25,35.15,1422,42.7,186,0,NOT
M15011,M,25.25,35.05,1463,37.6,188,0,NOT
M15012,M,25.25,35.05,1584,41,191,0,NOT
L47333,L,25.25,35.05,1850,27,194,0,NOT
L47334,L,25.25,35.05,1528,36.2,196,0,NOT
H29569,H,25.25,35.05,1987,19.8,198,0,NOT
M15016,M,25.25,34.95,1495,46,203,0,NOT
H29571,H,25.25,35.05,1478,43.5,206,0,NOT
M15018,M,25.25,35.05,1499,40,211,0,NOT
L47339,L,25.25,35.05,1471,47,214,0,NOT
L47340,L,25.25,35.05,1282,60.7,216,1,OSF
L47341,L,25.15,34.95,1412,52.3,218,1,OSF
L47342,L,25.15,34.95,1586,35.5,0,0,NOT
M15023,M,25.25,35.05,1468,43.8,2,0,NOT
M15024,M,25.35,35.15,1440,43.6,5,0,NOT
L47345,L,25.35,35.25,1733,26,8,0,NOT
H29580,H,25.25,35.05,1612,32.6,10,0,NOT
H29581,H,25.25,35.15,1458,42.9,15,0,NOT
L47348,L,25.25,35.15,1433,62.3,20,1,PWF
L47349,L,25.25,35.15,1318,59.1,22,0,NOT
M15030,M,25.25,35.05,1610,35,24,0,NOT
L47351,L,25.05,34.95,1462,50.8,27,0,NOT
M15032,M,24.95,34.85,1924,20.8,29,0,NOT
M15033,M,25.05,34.85,1591,33.7,32,0,NOT
L47354,L,25.05,34.95,1306,58.3,35,0,NOT
L47355,L,25.05,34.95,1382,43.5,37,0,NOT
L47356,L,25.05,34.95,1618,34.7,39,0,NOT
L47357,L,25.05,35.05,1988,21.4,41,0,NOT
L47358,L,25.05,35.05,1436,50.2,43,0,NOT
L47359,L,25.05,35.15,1304,49.8,45,0,NOT
L47360,L,25.05,35.15,1475,49.9,47,0,NOT
H29595,H,25.05,35.15,1824,24.2,49,0,NOT
M15042,M,24.95,35.05,1342,48.1,54,0,NOT
L47363,L,24.95,35.05,1485,40.7,57,0,NOT
L47364,L,25.05,35.05,1667,30.6,59,0,NOT
L47365,L,25.05,35.05,1446,38.2,61,0,NOT
L47366,L,24.95,35.15,1301,56,63,0,NOT
L47367,L,25.05,35.25,1379,43.1,65,0,NOT
L47368,L,25.15,35.35,1606,33.6,67,0,NOT
M15049,M,25.15,35.25,1539,43.4,69,0,NOT
L47370,L,25.05,35.25,1477,49.9,72,0,NOT
L47371,L,25.05,35.25,1666,34.6,74,0,NOT
H29606,H,25.05,35.25,1398,51.8,76,0,NOT
H29607,H,25.05,35.25,1678,34.6,81,0,NOT
M15054,M,25.05,35.35,2678,10.7,86,1,PWF
L47375,L,25.15,35.35,1453,42.9,89,0,NOT
H29610,H,25.15,35.45,1432,49.5,91,0,NOT
M15057,M,25.25,35.45,1527,40.9,96,0,NOT
L47378,L,25.25,35.55,1588,35,99,0,NOT
L47379,L,25.25,35.45,1433,47.1,101,0,NOT
L47380,L,25.25,35.45,1609,35,103,0,NOT
L47381,L,25.15,35.35,1575,41.2,105,0,NOT
M15062,M,25.25,35.35,1636,35.7,107,0,NOT
L47383,L,25.25,35.35,1490,37.9,110,0,NOT
L47384,L,25.25,35.35,1741,32.8,112,0,NOT
M15065,M,25.35,35.45,1344,53,114,0,NOT
L47386,L,25.35,35.55,1609,35.3,117,0,NOT
M15067,M,25.25,35.55,1421,60.7,119,1,PWF
L47388,L,25.25,35.45,1591,36.7,122,0,NOT
L47389,L,25.25,35.45,1477,44,124,0,NOT
L47390,L,25.25,35.55,1523,36.1,126,0,NOT
L47391,L,25.35,35.55,1575,33.9,128,0,NOT
H29626,H,25.25,35.55,1344,52.9,130,0,NOT
L47393,L,25.25,35.55,1386,44.9,135,0,NOT
M15074,M,25.15,35.45,1589,37.1,137,0,NOT
L47395,L,25.15,35.45,1548,40.3,140,0,NOT
L47396,L,25.15,35.45,1499,38.3,142,0,NOT
L47397,L,25.15,35.35,1664,31.6,144,0,NOT
L47398,L,25.15,35.45,1447,38.1,146,0,NOT
M15079,M,25.15,35.35,1434,46.2,148,0,NOT
L47400,L,25.15,35.35,1416,52.7,151,0,NOT
H29635,H,25.25,35.35,1827,24.3,153,0,NOT
L47402,L,25.25,35.45,1304,45,158,0,NOT
L47403,L,25.25,35.45,1569,34.4,160,0,NOT
L47404,L,25.15,35.45,1584,29.3,162,0,NOT
L47405,L,25.15,35.35,1362,53.8,164,0,NOT
L47406,L,25.15,35.25,1329,49.2,166,0,NOT
L47407,L,25.15,35.35,1539,36.1,168,0,NOT
M15088,M,25.15,35.35,1629,37.1,170,0,NOT
L47409,L,25.15,35.35,1538,32.2,173,0,NOT
L47410,L,25.15,35.45,1570,34.8,175,0,NOT
L47411,L,25.15,35.25,1408,43.1,177,0,NOT
L47412,L,25.05,35.25,1424,47.6,179,0,NOT
L47413,L,25.05,35.25,1512,34.9,181,0,NOT
L47414,L,25.05,35.25,1478,42.9,183,0,NOT
M15095,M,24.95,35.15,1680,33.7,185,0,NOT
L47416,L,24.95,35.15,1495,38.7,188,0,NOT
M15097,M,24.85,34.95,1552,36.6,190,0,NOT
L47418,L,24.75,34.95,1393,50.3,193,0,NOT
L47419,L,24.85,35.05,1611,30.6,195,0,NOT
M15100,M,24.85,34.95,1339,51.6,197,0,NOT
L47421,L,24.85,34.95,1777,24.3,200,0,NOT
L47422,L,24.85,35.05,1348,58.8,202,1,OSF
L47423,L,24.85,35.05,1442,44.1,204,0,NOT
M15104,M,24.85,35.05,1395,49.1,206,0,NOT
M15105,M,24.75,34.95,1627,31.4,209,0,NOT
L47426,L,24.75,34.95,1585,33.5,212,0,NOT
L47427,L,24.85,35.05,1469,45.5,214,0,NOT
L47428,L,24.85,35.15,1362,56.8,216,1,OSF
L47429,L,24.85,35.15,1405,56.2,218,1,OSF
L47430,L,24.85,35.15,1662,32.7,0,0,NOT
M15111,M,24.85,35.05,1466,42.6,2,0,NOT
L47432,L,24.85,35.05,1620,35.8,5,0,NOT
L47433,L,24.85,35.05,1357,48.2,7,0,NOT
L47434,L,24.85,35.05,1514,37.9,9,0,NOT
L47435,L,24.85,35.05,1489,40.4,11,0,NOT
L47436,L,24.95,35.15,1331,63,13,0,NOT
L47437,L,24.85,34.85,1615,29.5,15,0,NOT
L47438,L,24.95,35.05,1482,37.9,17,0,NOT
M15119,M,24.95,35.05,1420,63.9,19,1,PWF
M15120,M,25.05,35.15,1522,49.1,22,0,NOT
L47441,L,24.95,35.05,1654,32.1,25,0,NOT
M15122,M,24.95,35.05,1736,26.8,27,0,NOT
M15123,M,24.85,34.95,1587,32.3,30,0,NOT
L47444,L,24.95,35.05,1390,47.5,33,0,NOT
L47445,L,24.85,34.95,1454,37.1,35,0,NOT
H29680,H,24.85,34.95,1440,43.7,37,0,NOT
L47447,L,24.75,34.85,1954,21.1,42,0,NOT
H29682,H,24.75,34.85,1800,24.8,44,0,NOT
L47449,L,24.85,34.85,1524,37,49,0,NOT
H29684,H,24.85,34.85,1520,39.6,51,0,NOT
M15131,M,24.95,34.95,1452,40.8,56,0,NOT
L47452,L,24.95,34.95,1484,40.4,59,0,NOT
L47453,L,24.95,34.85,1426,46,61,0,NOT
L47454,L,24.95,34.85,1652,28.5,63,0,NOT
L47455,L,24.85,34.85,1401,54.7,65,0,NOT
M15136,M,24.85,34.75,1750,26.6,67,0,NOT
H29691,H,24.85,34.85,1479,50.7,70,0,NOT
M15138,M,24.85,34.85,1620,29.4,75,0,NOT
L47459,L,24.85,34.95,1819,23.4,78,0,NOT
M15140,M,24.95,34.95,1456,43.7,80,0,NOT
L47461,L,24.95,34.85,1626,36.5,83,0,NOT
M15142,M,24.95,34.95,1390,49.8,85,0,NOT
L47463,L,25.05,35.05,1469,43,88,0,NOT
L47464,L,25.05,35.15,2051,19.2,90,0,NOT
L47465,L,25.05,35.15,1568,36,92,0,NOT
L47466,L,25.05,35.15,1589,33.2,94,0,NOT
L47467,L,25.05,35.15,1805,31.6,96,0,NOT
H29702,H,25.05,35.25,1385,42.2,98,0,NOT
L47469,L,24.95,35.25,1436,46.7,103,0,NOT
L47470,L,24.95,35.25,1438,45.6,105,0,NOT
L47471,L,24.85,35.15,1473,42.6,107,0,NOT
L47472,L,24.95,35.25,1335,40.2,109,0,NOT
H29707,H,24.95,35.35,1392,44.8,111,0,NOT
M15154,M,24.95,35.35,1372,51.1,116,0,NOT
M15155,M,24.95,35.45,1716,30.7,119,0,NOT
L47476,L,24.85,35.35,1395,46.2,122,0,NOT
L47477,L,24.85,35.35,1713,25.3,124,0,NOT
H29712,H,24.75,35.35,2129,18.7,126,0,NOT
M15159,M,24.65,35.15,1567,35.6,131,0,NOT
L47480,L,24.65,35.25,1622,38.3,134,0,NOT
L47481,L,24.55,35.25,1740,27.1,136,0,NOT
H29716,H,24.65,35.25,1512,35.1,138,0,NOT
M15163,M,24.65,35.25,1479,43.5,143,0,NOT
L47484,L,24.65,35.25,1737,27.5,146,0,NOT
L47485,L,24.65,35.25,2129,19.2,148,0,NOT
L47486,L,24.65,35.25,1374,47.1,150,0,NOT
M15167,M,24.65,35.25,1579,36.6,152,0,NOT
L47488,L,24.75,35.35,1305,47.2,155,0,NOT
M15169,M,24.75,35.35,1449,40.8,157,0,NOT
H29724,H,24.85,35.45,1526,41.8,160,0,NOT
M15171,M,24.85,35.45,1453,44.1,165,0,NOT
L47492,L,24.75,35.45,1468,36,168,0,NOT
L47493,L,24.85,35.45,1313,50.8,170,0,NOT
M15174,M,24.75,35.35,1300,53,172,0,NOT
L47495,L,24.75,35.25,1646,40.6,175,0,NOT
L47496,L,24.65,35.25,1714,33.2,177,0,NOT
L47497,L,24.65,35.25,1685,28.4,179,0,NOT
L47498,L,24.65,35.25,1512,39.9,181,0,NOT
L47499,L,24.65,35.25,1612,32.1,183,0,NOT
H29734,H,24.65,35.25,1550,38.2,185,0,NOT
L47501,L,24.65,35.25,1518,32.5,190,0,NOT
L47502,L,24.65,35.35,1448,40,192,0,NOT
L47503,L,24.65,35.35,1561,46.3,194,0,NOT
M15184,M,24.65,35.35,1488,41.9,196,0,NOT
L47505,L,24.65,35.35,1699,27.8,199,0,NOT
L47506,L,24.55,35.35,1501,41.4,201,0,NOT
L47507,L,24.55,35.35,1373,56.7,203,1,OSF
H29742,H,24.45,35.25,1703,31.4,205,0,NOT
H29743,H,24.55,35.35,1720,29.9,210,0,NOT
M15190,M,24.45,35.25,1398,41.9,215,0,NOT
M15191,M,24.45,35.25,1391,51.9,218,0,NOT
M15192,M,24.45,35.15,1538,40.2,0,0,NOT
L47513,L,24.35,35.05,1647,31.3,3,0,NOT
M15194,M,24.35,34.95,1469,44.8,5,0,NOT
L47515,L,24.25,34.95,1749,25.9,8,0,NOT
M15196,M,24.45,35.05,1995,20.5,10,0,NOT
L47517,L,24.45,35.15,1742,27.7,13,0,NOT
L47518,L,24.35,35.05,1563,38.2,15,0,NOT
M15199,M,24.35,35.05,1713,32.2,17,0,NOT
L47520,L,24.25,34.95,1474,39.4,20,0,NOT
M15201,M,24.25,35.05,1530,32.6,22,0,NOT
L47522,L,24.25,35.05,1471,46.5,25,0,NOT
L47523,L,24.35,35.15,1388,48.6,27,0,NOT
M15204,M,24.35,35.05,2448,13.8,29,0,NOT
L47525,L,24.35,35.15,1585,32.9,32,0,NOT
M15206,M,24.35,35.15,1459,45.2,34,0,NOT
L47527,L,24.35,35.15,1544,40.8,37,0,NOT
L47528,L,24.45,35.15,1617,31.7,39,0,NOT
L47529,L,24.45,35.15,1595,34.3,41,0,NOT
H29764,H,24.45,35.15,1400,44.3,43,0,NOT
M15211,M,24.45,35.25,1611,31,48,0,NOT
M15212,M,24.45,35.25,1507,46,51,0,NOT
H29767,H,24.35,35.15,1674,30,54,0,NOT
L47534,L,24.45,35.15,1658,34.3,59,0,NOT
L47535,L,24.45,35.15,1623,36.9,61,0,NOT
M15216,M,24.45,35.25,1398,48.9,63,0,NOT
L47537,L,24.45,35.25,1517,34.2,66,0,NOT
M15218,M,24.45,35.15,1467,36.7,68,0,NOT
M15219,M,24.45,35.15,1567,34.6,71,0,NOT
M15220,M,24.35,35.15,1521,38.2,74,0,NOT
L47541,L,24.35,35.15,1596,36.8,77,0,NOT
H29776,H,24.45,35.15,1640,30.9,79,0,NOT
L47543,L,24.45,35.15,1438,47.8,84,0,NOT
L47544,L,24.45,35.25,1407,55.2,86,0,NOT
L47545,L,24.45,35.25,1353,57.5,88,0,NOT
M15226,M,24.45,35.35,1552,40.9,90,0,NOT
M15227,M,24.45,35.25,1569,38.3,93,0,NOT
L47548,L,24.35,35.25,1489,39.5,96,0,NOT
H29783,H,24.35,35.25,1587,36.1,98,0,NOT
M15230,M,24.35,35.15,1622,37.2,103,0,NOT
L47551,L,24.35,35.25,1604,38.1,106,0,NOT
M15232,M,24.25,35.15,1405,51.7,108,0,NOT
L47553,L,24.25,35.15,1412,42,111,0,NOT
L47554,L,24.25,35.15,1431,43,113,0,NOT
L47555,L,24.25,35.05,1533,37.4,115,0,NOT
M15236,M,24.25,35.05,1401,51.9,117,0,NOT
M15237,M,24.25,35.05,1424,53.9,120,0,NOT
L47558,L,24.15,35.05,1754,29.4,123,0,NOT
L47559,L,24.15,35.05,1754,26.8,125,0,NOT
L47560,L,24.35,35.15,2564,12.8,127,1,PWF
L47561,L,24.35,35.35,1546,40.4,129,0,NOT
L47562,L,24.35,35.35,1335,48,131,0,NOT
M15243,M,24.35,35.45,1842,27,133,0,NOT
L47564,L,24.35,35.35,1712,26.8,136,0,NOT
M15245,M,24.45,35.45,1414,45.4,138,0,NOT
L47566,L,24.45,35.55,1319,50.9,141,0,NOT
L47567,L,24.55,35.55,1249,60.4,143,0,NOT
L47568,L,24.45,35.55,1455,48.2,145,0,NOT
M15249,M,24.45,35.55,1408,54.8,147,0,NOT
L47570,L,24.45,35.55,1460,46.7,150,0,NOT
L47571,L,24.45,35.45,1491,38.1,152,0,NOT
M15252,M,24.45,35.35,1490,43.4,154,0,NOT
M15253,M,24.35,35.25,1350,52.2,157,0,NOT
L47574,L,24.35,35.25,1528,39.9,160,0,NOT
L47575,L,24.25,35.15,1571,37.7,162,0,NOT
L47576,L,24.25,35.15,1490,42.6,164,0,NOT
M15257,M,24.25,35.15,1774,28.9,166,0,NOT
H29812,H,24.25,35.15,1502,43.6,169,0,NOT
L47579,L,24.25,35.25,1392,49.7,174,0,NOT
L47580,L,24.25,35.35,2100,16.9,176,0,NOT
L47581,L,24.35,35.35,1722,30.4,178,0,NOT
L47582,L,24.25,35.45,1678,32.3,180,0,NOT
L47583,L,24.15,35.45,1273,59.8,182,0,NOT
L47584,L,24.15,35.45,1297,45.9,184,0,NOT
L47585,L,24.15,35.35,1350,57.6,186,0,NOT
L47586,L,24.25,35.45,1439,51.9,188,0,NOT
M15267,M,24.25,35.35,1600,42.1,190,0,NOT
M15268,M,24.25,35.45,1434,44.4,193,0,NOT
L47589,L,24.25,35.45,1459,41.3,196,0,NOT
M15270,M,24.35,35.45,1472,44.9,198,0,NOT
L47591,L,24.35,35.55,1429,44.3,201,0,NOT
L47592,L,24.35,35.45,1388,48.2,203,0,NOT
L47593,L,24.25,35.25,1573,34.5,205,0,NOT
L47594,L,24.25,35.25,1588,32.5,207,0,NOT
L47595,L,24.35,35.25,1511,42.8,209,0,NOT
L47596,L,24.25,35.35,1495,37.8,211,0,NOT
L47597,L,24.25,35.25,1394,50.1,213,0,NOT
L47598,L,24.25,35.25,2151,17.7,0,0,NOT
M15279,M,24.15,35.15,1501,38.2,2,0,NOT
M15280,M,24.15,35.15,1301,39.6,5,0,NOT
M15281,M,24.15,35.15,1657,31.1,8,0,NOT
L47602,L,24.15,35.15,1333,55.2,11,0,NOT
L47603,L,24.15,35.15,1484,43.9,13,0,NOT
L47604,L,24.15,35.25,1430,45.7,15,0,NOT
M15285,M,24.15,35.25,1665,28.9,17,0,NOT
L47606,L,24.25,35.35,1501,44.9,20,0,NOT
M15287,M,24.35,35.35,1496,42.2,22,0,NOT
M15288,M,24.45,35.45,1595,36.9,25,0,NOT
L47609,L,24.35,35.45,1208,62.3,28,0,NOT
L47610,L,24.35,35.45,1596,37.1,30,0,NOT
L47611,L,24.35,35.35,1446,41.9,32,0,NOT
M15292,M,24.45,35.35,1466,39.7,34,0,NOT
M15293,M,24.45,35.35,1848,23.7,37,0,NOT
M15294,M,24.35,35.35,1484,44.7,40,0,NOT
L47615,L,24.25,35.15,1493,41.2,43,0,NOT
L47616,L,24.15,35.15,1504,36.3,45,0,NOT
L47617,L,24.15,35.15,1538,38.5,47,0,NOT
L47618,L,24.25,35.25,1341,52.2,49,0,NOT
M15299,M,24.25,35.15,1535,34.6,51,0,NOT
L47620,L,24.25,35.35,1389,39.2,54,0,NOT
H29855,H,24.35,35.35,1393,46.6,56,0,NOT
L47622,L,24.25,35.35,1399,61.5,61,1,PWF
H29857,H,24.25,35.35,1469,45.1,63,0,NOT
L47624,L,24.25,35.25,1582,37.2,68,0,NOT
L47625,L,24.35,35.45,1793,26.7,70,0,NOT
L47626,L,24.35,35.45,1452,39,72,0,NOT
M15307,M,24.45,35.55,1376,59.9,74,0,NOT
L47628,L,24.35,35.45,1552,44.9,77,0,NOT
L47629,L,24.45,35.55,1622,37.9,79,0,NOT
M15310,M,24.45,35.55,1419,41.7,81,0,NOT
H29865,H,24.35,35.45,1440,46.1,84,0,NOT
M15312,M,24.25,35.45,1643,31,89,0,NOT
L47633,L,24.25,35.55,1510,36.2,92,0,NOT
L47634,L,24.25,35.55,1468,46.6,94,0,NOT
L47635,L,24.25,35.55,1429,57.4,96,0,NOT
H29870,H,24.15,35.55,1478,47.6,98,0,NOT
L47637,L,24.25,35.45,1276,53.6,103,0,NOT
L47638,L,24.15,35.45,1486,42.6,105,0,NOT
L47639,L,24.25,35.45,1476,42.3,107,0,NOT
H29874,H,24.15,35.45,1431,42,109,0,NOT
L47641,L,24.25,35.55,1402,40.2,114,0,NOT
L47642,L,24.25,35.55,1433,43.4,116,0,NOT
L47643,L,24.25,35.55,2874,4.2,118,1,PWF
L47644,L,24.15,35.45,1511,35.7,120,0,NOT
M15325,M,24.15,35.45,1456,42.9,122,0,NOT
L47646,L,24.05,35.35,1550,41.5,125,0,NOT
L47647,L,24.05,35.35,2182,16.5,127,0,NOT
L47648,L,24.15,35.55,1619,31.6,129,0,NOT
M15329,M,24.15,35.65,1586,32.7,131,0,NOT
H29884,H,24.15,35.65,1499,44.2,134,0,NOT
H29885,H,24.15,35.65,1419,42.4,139,0,NOT
M15332,M,24.25,35.85,1497,41.8,144,0,NOT
M15333,M,24.25,35.85,1520,37,147,0,NOT
L47654,L,24.25,35.95,1478,49.8,150,0,NOT
L47655,L,24.25,35.95,1380,41.1,152,0,NOT
L47656,L,24.25,35.85,1570,37.9,154,0,NOT
H29891,H,24.25,35.85,1468,41.4,156,0,NOT
L47658,L,24.25,35.85,1833,22.6,161,0,NOT
M15339,M,24.25,35.75,1323,57.3,163,0,NOT
L47660,L,24.25,35.85,1583,32,166,0,NOT
